Name,"Level ",Type,Type of skill
Adobe Illustrator,Advance,Software,
Adobe Lightroom,Intermediate,Software,
Adobe Indesign,Intermediate,Software,
Adobe Premier Rush,Beginner,Software,
Adobe Photoshop,Beginner,Software,
Adobe Express,Advance,Software,
Figma,Beginner,Software,
HTML/CSS,Beginner,Software,
Administrative support,,Expertise,Hard skill
Branding,,Expertise,Hard skill
Time Management,,Expertise,Soft skill
Attention to detail,,Expertise,Soft skill
Print design,,Expertise,Hard skill
"Communication ",,Expertise,Soft skill
Event Planning,,Expertise,Hard skill
Flexibility and adaptability,,Expertise,Soft skill
Receptiveness to Feedback,,Expertise,Soft skill
Motivation,,Expertise,Soft skill
Language 1,C2,Language,
Logo design,,Expertise,Hard skill
Teamwork,,Expertise,Soft skill
Leadership,,Expertise,Soft skill
Social Media Graphics,,Expertise,Hard skill
Language 2,B2,Language,
Language 3,A1,Language,